teamName,stadium/name,stadium/capacity,wins,draws,defeats,goal_scored,goal_conceded,points,place,captain/name,captain/matches_played,captain/goal,captain/assist,captain/yellow_card,captain/red_card,manager/0/name
Arsenal,Emirates Stadium,60704,22,3,13,61,48,69,5,Alexandre Lacazette,30,4,7,0,0,Mikel Arteta
Aston Villa,Villa Park,42682,13,6,19,52,54,45,14,Tyrone Mings,36,1,3,11,0,Dean Smith
Aston Villa,Villa Park,42682,13,6,19,52,54,45,14,Tyrone Mings,36,1,3,11,0,Steven Gerrard
Brentford,Brentford Community Stadium,17250,13,7,18,48,56,46,13,Pontus Jansson,37,3,1,7,0,Thomas Frank
Brighton & Hove Albion,Falmer Stadium,31800,12,15,11,42,44,51,9,Lewis Dunk,29,1,0,3,1,Graham Potter
Burnley,Turf Moor,21944,7,14,17,34,53,35,18,Ben Mee,21,3,0,3,0,Sean Dyche
Burnley,Turf Moor,21944,7,14,17,34,53,35,18,Ben Mee,21,3,0,3,0,Mike Jackson
Chelsea,Stamford Bridge,40834,21,11,6,76,33,74,3,C�sar Azpilicueta,27,1,2,3,0,Thomas Tuchel
Crystal Palace,Selhurst Park,25486,11,15,12,50,46,48,12,Luka Milivojevic,15,0,0,1,0,Patrick Vieira
Everton,Goodison Park ,39414,11,6,21,43,66,39,16,S�amus Coleman,6,0,0,0,0,Rafael Benitez
Everton,Goodison Park ,39414,11,6,21,43,66,39,16,S�amus Coleman,6,0,0,0,0,Frank Lampard
Leeds United,Elland Road,37792,9,11,18,42,79,38,17,Liam Cooper,6,0,0,1,0,Marcelo Bielsa
Leeds United,Elland Road,37792,9,11,18,42,79,38,17,Liam Cooper,6,0,0,1,0,Jesse Marsch
Leicester City,King Power Stadium,32312,14,10,14,62,59,52,8,Kasper Schmeichel,37,0,0,2,0,Brendan Rodgers
Liverpool,Anfield,53394,28,8,2,94,26,92,2,Jordan Henderson,35,2,5,3,0,J�rgen Klopp
Manchester City,City of Manchester Stadium,53400,29,6,3,99,26,93,1,Fernandinho,19,2,1,1,0,Pep Guardiola
Manchester United,Old Trafford,74140,16,10,12,57,57,58,6,Harry Maguire,30,1,0,9,1,Ole Funnar Solskj�r
Manchester United,Old Trafford,74140,16,10,12,57,57,58,6,Harry Maguire,30,1,0,9,1,Ralf Ragnick
Newcastle United,St James' Park,52305,13,10,15,44,62,49,11,Jamaal Lascalles,26,1,0,5,0,Steve Bruce
Newcastle United,St James' Park,52305,13,10,15,44,62,49,11,Jamaal Lascalles,26,1,0,5,0,Eddie Howe
Norwich City,Carrow Road,27244,5,7,26,23,84,22,20,Grant Hanley,33,1,0,2,0,Daniel Farke
Norwich City,Carrow Road,27244,5,7,26,23,84,22,20,Grant Hanley,33,1,0,2,0,Dean Smith
Southampton,St Mary's Stadium,32384,9,13,16,43,67,40,15,James Ward-Prowse,36,10,5,3,1,Ralph Hasenh�ttl
Tottenham Hotspur,Tottenham Hotspur Stadium,62850,22,5,11,69,40,71,4,Hugo Lloris,38,0,0,2,0,Nuno Esp�rito Santo
Tottenham Hotspur,Tottenham Hotspur Stadium,62850,22,5,11,69,40,71,4,Hugo Lloris,38,0,0,2,0,Antonio Conte
Watford,Vicarage Road,22200,6,5,27,34,77,23,19,Moussa Sissoko,36,2,1,5,0,Xisco Mu�oz
Watford,Vicarage Road,22200,6,5,27,34,77,23,19,Moussa Sissoko,36,2,1,5,0,Roy Hodgson
West Ham United,London Stadium,60000,16,8,14,62,59,52,7,Mark Noble,11,1,0,0,0,David Moyes
Wolverhamption Wanderers,Molineux Stadium,32050,15,6,17,38,43,51,10,Conor Coady,38,4,0,4,0,Bruno Lage
